facility_type,facility_name,facility_id
商业,长盛商业-越秀悦汇天地购物中心,fs0203f049
商业,南海印象汇,fs0203f050
教育,【幼儿园】佛山市南海区灯湖第二幼儿园,fs0203f051
教育,【中学】灯湖中学,fs0203f052
教育,【幼儿园】信孚中海万锦豪园幼儿园,fs0203f053
教育,【幼儿园】寰宇天下幼儿园,fs0203f054
教育,【小学】夏北小学,fs0203f055
教育,【幼儿园】佛山市南海区桂城童帅幼儿园,fs0203f056
教育,【小学】灯湖小学,fs0203f057
教育,【小学】灯湖第四小学,fs0203f058
教育,【幼儿园】夏北幼儿园,fs0203f059
教育,【幼儿园】夏西幼儿园,fs0203f060
教育,【幼儿园】北约幼儿园,fs0203f061
教育,【幼儿园】金域幼儿园,fs0203f062
教育,【幼儿园】南海桂城彩梦幼儿园,fs0203f063
教育,【幼儿园】悦闻幼儿园,fs0203f064
教育,【幼儿园】夏南一幼儿园,fs0203f065
教育,【小学】佛山市南海区桂城街道映月小学,fs0203f066
教育,【小学】灯湖第六小学,fs0203f067
教育,【幼儿园】南光中英文学校,fs0203f068
教育,【幼儿园】南光中英文幼儿园,fs0203f069
教育,【小学】映月第七小学,fs0203f070
教育,【幼儿园】梅沙幼儿园,fs0203f071
教育,【小学】灯湖第三小学,fs0203f072
教育,【幼儿园】佛山市南海区亮晶晶幼儿园,fs0203f073
教育,【小学】南海实验小学(灯湖校区),fs0203f074
教育,【幼儿园】哈罗幼儿园,fs0203f075
教育,【幼儿园】西门幼儿园,fs0203f076
教育,【幼儿园】红苹果幼儿园,fs0203f077
教育,【幼儿园】灯湖幼儿园,fs0203f078
教育,【小学】星火小学,fs0203f079
教育,【小学】灯湖实验小学,fs0203f080
教育,【幼儿园】桂城小森林幼儿园,fs0203f081
教育,【幼儿园】佛山市南海区桂城怡翠幼儿园,fs0203f082
教育,【小学】灯湖第五小学,fs0203f083
教育,【小学】西约小学,fs0203f084
教育,【幼儿园】灯湖一号幼儿园,fs0203f085
教育,【幼儿园】西约幼儿园,fs0203f086
教育,【幼儿园】博雅早幼园,fs0203f087
教育,【中学】映月中学,fs0203f088
教育,【幼儿园】滨江1号国际幼儿园,fs0203f089
教育,【幼儿园】中海锦城国际花园幼儿园,fs0203f090
教育,【幼儿园】桂城南约幼儿园,fs0203f091
教育,【幼儿园】夏南二幼儿园,fs0203f092
教育,【小学】映月第七小学(夏南二校区),fs0203f093
教育,【小学】灯湖第七小学,fs0203f094
教育,【幼儿园】中海锦城海峰国际幼儿园,fs0203f095
教育,【小学】夏南小学(夏南二校区),fs0203f096
教育,【幼儿园】鸿晖康堤幼儿园,fs0203f097
教育,【幼儿园】丹桂幼儿园,fs0203f098
教育,【幼儿园】桂城伟才幼儿园,fs0203f099
教育,【幼儿园】丽雅苑英语实验幼儿园,fs0203f100
教育,【幼儿园】桂城兴业新邨幼儿园,fs0203f101
教育,【小学】花苑小学,fs0203f102
教育,【小学】南海中心小学,fs0203f103
教育,【幼儿园】荔湾区加德纳幼儿园,fs0203f104
教育,【幼儿园】桂东幼儿园,fs0203f105
教育,【幼儿园】新一代幼儿园,fs0203f106
教育,【幼儿园】南海师范实验幼儿园,fs0203f107
教育,【中学】桂江二中,fs0203f108
教育,【幼儿园】桂城东约幼儿园,fs0203f109
教育,【小学】广州市荔湾区龙溪小学,fs0203f110
教育,【幼儿园】桂城小牛津幼儿园,fs0203f111
教育,【幼儿园】南海(国际)实验幼儿园,fs0203f112
教育,【幼儿园】金桂幼儿园,fs0203f113
教育,【中学】南海实验中学,fs0203f114
教育,【幼儿园】桂花幼儿园,fs0203f115
教育,【幼儿园】童树幼儿园,fs0203f116
教育,【幼儿园】城南幼儿园(天佑北路店),fs0203f117
教育,【小学】桂江小学,fs0203f118
教育,【中学】南海第一中学,fs0203f119
教育,【小学】怡海第二小学,fs0203f120
教育,【小学】东二小学,fs0203f121
教育,【幼儿园】迎苗幼儿园,fs0203f122
教育,【小学】夏东小学,fs0203f123
教育,【幼儿园】江南名居幼儿园,fs0203f124
医疗,佛山市南海区中医院,fs0203f125
医疗,广东省中西医结合医院,fs0203f126
医疗,佛山市南海区妇幼保健院,fs0203f127
教育,【幼儿园】佛山市高明区美鹭幼儿园,fs0501f001
教育,【小学】佛山市高明区博雅培文实验学校,fs0501f002
教育,【幼儿园】蓓蕾园,fs0501f003
教育,【幼儿园】对川旭日幼儿园,fs0501f004
教育,【中学】杨和中学,fs0501f005
交通,杏坛食街,fs0306f001
交通,吕地村委会,fs0306f002
交通,河东路,fs0306f003
交通,环镇路(容山商场),fs0306f004
交通,金洲村,fs0306f005
交通,昌教牌坊,fs0306f006
交通,杏坛邮局,fs0306f007
交通,昌教小学总站,fs0306f008
交通,杏坛市场(商贸中心),fs0306f009
交通,北头村,fs0306f010
商业,宏汇城,fs0306f011
教育,【幼儿园】杏坛社区幼儿园,fs0306f012
